clasificacion;descripcion;DESCRIPCION_LARGA||'XX'
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Hipotensión idiopática;I95.0 / Hipotensión idiopáticaXx
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Hipotensión ortostática;I95.1 / Hipotensión ortostáticaXx
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Hipotensión debida a drogas;I95.2 / Hipotensión debida a drogasXx
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Otros tipos de hipotensión;I95.8 / Otros tipos de hipotensiónXx
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Hipotensión, no especificada;I95.9 / Hipotensión, no especificadaXx
OTRAS ENFERMEDADES DEL SISTEMA CIRCULATORIO ( I95-I99);Trastornos del sistema circulatorio consecutivos a procedimientos, no clasificados en otra parte;I97  / Trastornos del sistema circulatorio consecutivos a procedimientos, no clasificados en otra parteXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA Y DISECCION AORTICOS;I71  / Aneurisma y disección aórticosXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);DISECCION DE AORTA (CUALQUIER PARTE);I71.0 / Disección de aorta (cualquier parte)Xx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);RUPTURA DE ANEURISMA DE LA AORTA TORACICA;I71.1 / Ruptura de aneurisma de la aorta torácicaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA DE LA AORTA TORACICA, SIN MENCION DE RUPTURA;I71.2 / Aneurisma de la aorta torácica, sin mención de rupturaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Ruptura de aneurisma de la aorta abdominal;I71.3 / Ruptura de aneurisma de la aorta abdominalXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA DE LA AORTA ABDOMINAL, SIN MENCION DE RUPTURA;I71.4 / Aneurisma de la aorta abdominal, sin mención de rupturaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Ruptura de aneurisma de la aorta toracoabdominal;I71.5 / Ruptura de aneurisma de la aorta toracoabdominalXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA DE LA AORTA TORACOABDOMINAL, SIN MENCION DE RUPTURA;I71.6 / Aneurisma de la aorta toracoabdominal, sin mención de rupturaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);RUPTURA DE ANEURISMA AORTICO, SITIO NO ESPECIFICADO;I71.8 / Ruptura de aneurisma aórtico, sitio no especificadoXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA DE LA AORTA, SITIO NO ESPECIFICADO, SIN MENCION DE RUPTURA;I71.9  / Aneurisma de la aorta, sitio no especificado, sin mención de rupturaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Otros aneurismas;I72 / Otros aneurismasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ANEURISMA DE LA ARTERIA CAROTIDA;I72.0 / Aneurisma de la arteria carótidaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de arteria del miembro superior;I72.1 / Aneurisma de arteria del miembro superiorXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de arteria renal;I72.2 / Aneurisma de arteria renalXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de arteria iliaca;I72.3 / Aneurisma de arteria iliacaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de arteria del miembro inferior;I72.4 / Aneurisma de arteria del miembro inferiorXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de otras arterias especificadas;I72.8 / Aneurisma de otras arterias especificadasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Aneurisma de sitio no especificado;I72.9  / Aneurisma de sitio no especificadoXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);OTRAS ENFERMEDADES VASCULARES PERIFERICAS;I73  / Otras enfermedades vasculares periféricasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);SINDROME DE RAYNAUD;I73.0 / Síndrome de RaynaudXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);TROMBOANGEITIS OBLITERANTE [BUERGER];I73.1 / Tromboangeítis obliterante [Buerger]Xx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);OTRAS ENFERMEDADES VASCULARES PERIFERICAS ESPECIFICADAS;I73.8 / Otras enfermedades vasculares periféricas especificadasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);ENFERMEDAD VASCULAR PERIFERICA, NO ESPECIFICADA;I73.9  / Enfermedad vascular periférica, no especificadaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis arteriales;I74 / Embolia y trombosis arterialesXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de la aorta abdominal;I74.0 / Embolia y trombosis de la aorta abdominalXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de otras porciones y las no especificadas de la aorta;I74.1 / Embolia y trombosis de otras porciones y las no especificadas de la aortaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de arterias de los miembros superiores;I74.2 / Embolia y trombosis de arterias de los miembros superioresXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de arterias de los miembros inferiores;I74.3 / Embolia y trombosis de arterias de los miembros inferioresXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de arterias de los miembros, no especificadas;I74.4 / Embolia y trombosis de arterias de los miembros, no especificadasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de arteria iliaca;I74.5 / Embolia y trombosis de arteria iliacaXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de otras arterias;I74.8 / Embolia y trombosis de otras arteriasXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Embolia y trombosis de arteria no especificada;I74.9  / Embolia y trombosis de arteria no especificadaXx
ENFERMEDAD HIPERTENSIVA ( I10-I15);ENFERMEDAD HIPERTENSIVA RENAL: INCLUYE: NEFRITIS ARTERIOLAR ARTERIOSCLERÓTICA, INTERSTICIAL, UREMIA RENAL CRÓNICA, NEFROSCLEROSIS CRONICA O CUALQUIER NEFROSCLEROSIS CON HIPERTENSION;I12 / Enfermedad hipertensiva renal: Incluye: nefritis arteriolar arteriosclerótica, intersticial, uremia renal crónica, nefrosclerosis crónica o cualquier nefrosclerosis con hipertensiónXx
ENFERMEDAD HIPERTENSIVA ( I10-I15);Enfermedad hipertensiva renalt sin insuficiencia renal ;I12.0 / Enfermedad hipertensiva renalt sin insuficiencia renal Xx
ENFERMEDAD CARDIACA ISQUÉMICA ( I20-I25);Angina pectoris ;I20 / Angina pectoris Xx
ENFERMEDAD CARDIACA ISQUÉMICA ( I20-I25);Angina pectoris inestable;I20.0 / Angina pectoris inestableXx
ENFERMEDAD CARDIACA ISQUÉMICA ( I20-I25);Angina pectoris con espasmo coronario;I20.1 / Angina pectoris con espasmo coronarioXx
ENFERMEDAD CARDIACA ISQUÉMICA ( I20-I25);Otras forma de angina pectoris;I20.8 / Otras forma de angina pectorisXx
ENFERMEDAD CARDIACA ISQUÉMICA ( I20-I25);Angina pectoris sin especificar;I20.9  / Angina pectoris sin especificarXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Bronquitis y neumonitis debidas a inhalación de gases, humos, vapores y sustancias químicas;J68.0 / Bronquitis y neumonitis debidas a inhalación de gases, humos, vapores y sustancias químicasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Edema pulmonar agudo debido a inhalación de gases, humos, vapores y sustancias químicas;J68.1 / Edema pulmonar agudo debido a inhalación de gases, humos, vapores y sustancias químicasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Inflamación respiratoria superior debida a inhalación de gases, humos, vapores y sustancias químicas, no clasificadas en otra parte;J68.2 / Inflamación respiratoria superior debida a inhalación de gases, humos, vapores y sustancias químicas, no clasificadas en otra parteXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Otras afecciones respiratorias agudas y subagudas debidas a inhalación de gases, humos, vapores y sustancias químicas;J68.3 / Otras afecciones respiratorias agudas y subagudas debidas a inhalación de gases, humos, vapores y sustancias químicasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicas;J68.4 / Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Otras afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas;J68.8 / Otras afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Neumonitis debida a sólidos y líquidos;J69 / Neumonitis debida a sólidos y líquidosXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Neumonitis debida a aspiración de alimento o vómito;J69.0 / Neumonitis debida a aspiración de alimento o vómitoXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Otros trastornos arteriales o arteriolares;I77  / Otros trastornos arteriales o arteriolaresXx
ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES ( I70-I79);Fístula arteriovenosa, adquirida;I77.0 / Fístula arteriovenosa, adquiridaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Reabsorción patológica de los dientes;K03.3 / Reabsorción patológica de los dientesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Hipercementosis;K03.4 / HipercementosisXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anquilosis dental;K03.5 / Anquilosis dentalXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Depósitos [acreciones] en los dientes;K03.6 / Depósitos [acreciones] en los dientesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Cambios posteruptivos del color de los tejidos dentales duros;K03.7 / Cambios posteruptivos del color de los tejidos dentales durosXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otras enfermedades especificadas de los tejidos duros de los dientes;K03.8 / Otras enfermedades especificadas de los tejidos duros de los dientesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Enfermedad no especificada de los tejidos dentales duros;K03.9  / Enfermedad no especificada de los tejidos dentales durosXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Enfermedades de la pulpa y de los tejidos periapicales;K04 / Enfermedades de la pulpa y de los tejidos periapicalesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Pulpitis;K04.0 / PulpitisXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Necrosis de la pulpa;K04.1 / Necrosis de la pulpaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Degeneración de la pulpa;K04.2 / Degeneración de la pulpaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Formación anormal de tejido duro en la pulpa;K04.3 / Formación anormal de tejido duro en la pulpaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Periodontitis apical aguda originada en la pulpa;K04.4 / Periodontitis apical aguda originada en la pulpaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Periodontitis apical crónica;K04.5 / Periodontitis apical crónicaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Absceso periapical con fístula;K04.6 / Absceso periapical con fístulaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Absceso periapical sin fístula;K04.7 / Absceso periapical sin fístulaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Quiste radicular;K04.8 / Quiste radicularXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otras enfermedades y las no especificadas de la pulpa y del tejido periapical;K04.9 / Otras enfermedades y las no especificadas de la pulpa y del tejido periapicalXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Gingivitis y enfermedades periodontales;K05 / Gingivitis y enfermedades periodontalesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Gingivitis aguda;K05.0 / Gingivitis agudaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Gingivitis crónica;K05.1 / Gingivitis crónicaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Periodontitis aguda;K05.2 / Periodontitis agudaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Periodontitis crónica;K05.3 / Periodontitis crónicaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Periodontosis;K05.4 / PeriodontosisXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otras enfermedades periodontales;K05.5 / Otras enfermedades periodontalesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Enfermedad del periodonto, no especificada;K05.6  / Enfermedad del periodonto, no especificadaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otros trastornos de la encía y de la zona edéntula;K06 / Otros trastornos de la encía y de la zona edéntulaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Retracción gingival;K06.0 / Retracción gingivalXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Hiperplasia gingival;K06.1 / Hiperplasia gingivalXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Lesiones de la encía y de la zona edéntula asociadas con traumatismo;K06.2 / Lesiones de la encía y de la zona edéntula asociadas con traumatismoXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otros trastornos especificados de la encía y de la zona edéntula;K06.8 / Otros trastornos especificados de la encía y de la zona edéntulaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Trastorno no especificado de la encía y de la zona edéntula;K06.9  / Trastorno no especificado de la encía y de la zona edéntulaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías dentofaciales [incluso la maloclusión];K07  / Anomalías dentofaciales [incluso la maloclusión]Xx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías evidentes del tamaño de los maxilares;K07.0 / Anomalías evidentes del tamaño de los maxilaresXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías de la relación maxilobasilar;K07.1 / Anomalías de la relación maxilobasilarXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías de la relación entre los arcos dentarios;K07.2 / Anomalías de la relación entre los arcos dentariosXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías de la posición del diente;K07.3 / Anomalías de la posición del dienteXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Maloclusión de tipo no especificado;K07.4 / Maloclusión de tipo no especificadoXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalías dentofaciales funcionales;K07.5 / Anomalías dentofaciales funcionalesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Trastornos de la articulación temporomaxilar;K07.6 / Trastornos de la articulación temporomaxilarXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otras anomalías dentofaciales;K07.8 / Otras anomalías dentofacialesXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Anomalía dentofacial, no especificada;K07.9  / Anomalía dentofacial, no especificadaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otros trastornos de los dientes y de sus estructuras de sostén;K08  / Otros trastornos de los dientes y de sus estructuras de sosténXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Exfoliación de los dientes debida a causas sistémicas;K08.0 / Exfoliación de los dientes debida a causas sistémicasXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Pérdida de dientes debida a accidente, extracción o enfermedad periodontal local;K08.1 / Pérdida de dientes debida a accidente, extracción o enfermedad periodontal localXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Atrofia del reborde alveolar desdentado;K08.2 / Atrofia del reborde alveolar desdentadoXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Raíz dental retenida;K08.3 / Raíz dental retenidaXx
ENFERMEDADES DE LA BOCA Y DIENTES ( K00-K14);Otras afecciones especificadas de los dientes y de sus estructuras de sostén;K08.8 / Otras afecciones especificadas de los dientes y de sus estructuras de sosténXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Neumonitis debida a aspiración de otros sólidos y líquidos;J69.8 / Neumonitis debida a aspiración de otros sólidos y líquidosXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Afecciones respiratorias debidas a otros agentes externos;J70 / Afecciones respiratorias debidas a otros agentes externosXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Manifestaciones pulmonares agudas debidas a radiación;J70.0 / Manifestaciones pulmonares agudas debidas a radiaciónXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Manifestaciones pulmonares crónicas y otras manifestaciones debidas a radiación;J70.1 / Manifestaciones pulmonares crónicas y otras manifestaciones debidas a radiaciónXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Trastornos pulmonares intersticiales agudos inducidos por drogas;J70.2 / Trastornos pulmonares intersticiales agudos inducidos por drogasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Trastornos pulmonares intersticiales crónicos inducidos por drogas;J70.3 / Trastornos pulmonares intersticiales crónicos inducidos por drogasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Trastornos pulmonares intersticiales no especificados inducidos por drogas;J70.4 / Trastornos pulmonares intersticiales no especificados inducidos por drogasXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Afecciones respiratorias debidas a otros agentes externos especificados;J70.8 / Afecciones respiratorias debidas a otros agentes externos especificadosXx
ENFERMEDADES PULMONARES DEBIDAS A SUSTANCIAS EXTRAÑAS ( J60-J70);Afecciones respiratorias debidas a agentes externos no especificados;J70.9  / Afecciones respiratorias debidas a agentes externos no especificadosXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Síndrome de dificultad respiratoria del adulto;J80 / Síndrome de dificultad respiratoria del adultoXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Edema pulmonar;J81 / Edema pulmonarXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Eosinofilia pulmonar, no clasificada en otra parte;J82  / Eosinofilia pulmonar, no clasificada en otra parteXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Otras enfermedades pulmonares intersticiales;J84 / Otras enfermedades pulmonares intersticialesXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Afecciones alveolares y alveoloparietales;J84.0 / Afecciones alveolares y alveoloparietalesXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Otras enfermedades pulmonares intersticiales con fibrosis;J84.1 / Otras enfermedades pulmonares intersticiales con fibrosisXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Otras enfermedades pulmonares intersticiales especificadas;J84.8 / Otras enfermedades pulmonares intersticiales especificadasXx
OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ( J80-J84);Enfermedad pulmonar intersticial, no especificada;J84.9  / Enfermedad pulmonar intersticial, no especificadaXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Absceso del pulmón y del mediastino;J85 / Absceso del pulmón y del mediastinoXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Gangrena y necrosis del pulmón;J85.0 / Gangrena y necrosis del pulmónXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Absceso del pulmón con neumonía;J85.1 / Absceso del pulmón con neumoníaXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Absceso del pulmón sin neumonía;J85.2 / Absceso del pulmón sin neumoníaXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Absceso del mediastino;J85.3  / Absceso del mediastinoXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Piotórax;J86 / PiotóraxXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Piotórax con fístula;J86.0 / Piotórax con fístulaXx
ENFERMEDADES PURULENTAS Y NECRÓTICAS DE LAS VIAS RESPIRATORIAS ( J85-J86);Piotórax sin fístula;10 094  / Piotórax sin fístulaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Derrame pleural no clasificado en otra parte;J90 / Derrame pleural no clasificado en otra parteXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Derrame pleural en afecciones clasificadas en otra parte;J91 / Derrame pleural en afecciones clasificadas en otra parteXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Paquipleuritis;J92 / PaquipleuritisXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Paquipleuritis con asbestosis;J92.0 / Paquipleuritis con asbestosisXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Paquipleuritis sin asbestosis;J92.9 / Paquipleuritis sin asbestosisXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Neumotórax;J93  / NeumotóraxXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Neumotórax espontáneo a presión;J93.0 / Neumotórax espontáneo a presiónXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otros tipos de neumotórax espont neo;J93.1 / Otros tipos de neumotórax espont neoXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otros neumotórax;J93.8 / Otros neumotóraxXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Neumotórax, no especificado;J93.9 / Neumotórax, no especificadoXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otras afecciones de la pleura;J94  / Otras afecciones de la pleuraXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Quilotórax;J94.0 / QuilotóraxXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Fibrotórax;J94.1 / FibrotóraxXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Hemotórax;J94.2 / HemotóraxXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otras afecciones especificadas de la pleura;J94.8  / Otras afecciones especificadas de la pleuraXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Trastornos del sistema respiratorio consecutivos a procedimientos, no clasificados en otra parte;J95  / Trastornos del sistema respiratorio consecutivos a procedimientos, no clasificados en otra parteXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Funcionamiento defectuoso de la traqueostomía;J95.0 / Funcionamiento defectuoso de la traqueostomíaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia pulmonar aguda consecutiva a cirugía tor cica;J95.1 / Insuficiencia pulmonar aguda consecutiva a cirugía tor cicaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia pulmonar aguda consecutiva a cirugía extrator cica;J95.2 / Insuficiencia pulmonar aguda consecutiva a cirugía extrator cicaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia pulmonar crónica consecutiva a cirugía;J95.3 / Insuficiencia pulmonar crónica consecutiva a cirugíaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Síndrome de Mendelson;J95.4 / Síndrome de MendelsonXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Estenosis subglótica consecutiva a procedimientos;J95.5 / Estenosis subglótica consecutiva a procedimientosXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otros trastornos respiratorios consecutivos a procedimientos;J95.8 / Otros trastornos respiratorios consecutivos a procedimientosXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Trastorno no especificado del sistema respiratorio, consecutivo a procedimientos;J95.9  / Trastorno no especificado del sistema respiratorio, consecutivo a procedimientosXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia respiratoria, no clasificada en otra parte;J96  / Insuficiencia respiratoria, no clasificada en otra parteXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia respiratoria aguda;J96.0 / Insuficiencia respiratoria agudaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia respiratoria crónica;J96.1 / Insuficiencia respiratoria crónicaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Insuficiencia respiratoria, no especificada;J96.9 / Insuficiencia respiratoria, no especificadaXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otros trastornos respiratorios;J98 / Otros trastornos respiratoriosXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Enfermedades de la tr quea y de los bronquios, no clasificadas en otra parte;J98.0 / Enfermedades de la tr quea y de los bronquios, no clasificadas en otra parteXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Colapso pulmonar;J98.1 / Colapso pulmonarXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Enfisema intersticial;J98.2 / Enfisema intersticialXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Enfisema compensatorio;J98.3 / Enfisema compensatorioXx
OTRAS ENFERMEDADES DE LA PLEURA ( J90-J99);Otros trastornos del pulmón;J98.4 / Otros trastornos del pulmónXx
